OBJECTID,plotname,Shape_Length,Shape_Area,Longdd,Latdd
428,FWS 64_6_6_na,60394.133360807617000,11953122.291623849000000,-63.442264549627950,45.200082780958006
429,FWS 64_6_7_na,60367.111570255496000,11947716.373647079000000,-63.813689119764270,45.200082777499688
430,FWS 64_7_1_na,60453.877440222219000,11965070.171280373000000,-61.436354780638759,45.500070570333150
431,FWS 64_7_2_na,60425.513341083526000,11959399.427381881000000,-61.810454398699356,45.500070573655528
432,FWS 64_7_3_na,60425.513258289851000,11959397.756683379000000,-62.184464482383980,45.500070574004276
433,FWS 64_7_4_na,60452.361522012987000,11964768.461744454000000,-62.558559439694498,45.500076296069636
434,FWS 64_7_5_na,60425.499054889086000,11959395.714939972000000,-62.932654401330424,45.500082017853778
435,FWS 64_7_6_na,60453.859581609118000,11965067.854533534000000,-63.306754114414204,45.500082017859150
436,FWS 64_7_7_na,60427.306000332450000,11959754.713163165000000,-63.680859568024950,45.500082018252762
437,FWS 64_7_8_na,60450.540355503057000,11964402.663473304000000,-64.054954521078869,45.500082017927937
438,FWS 64_7_9_na,60425.502556690968000,11959394.100810811000000,-64.429043655398871,45.500076292527567
439,FWS 64_8_1_na,60974.836540909484000,12069259.934133817000000,-62.838909320945334,45.716741559705014
440,FWS 64_8_2_na,60973.030638642645000,12068902.221796129000000,-63.218084348660653,45.716741564325261
441,FWS 64_8_3_na,60976.330266122161000,12069562.796605492000000,-63.597264277265495,45.716745378658587
442,FWS 64_8_4_na,60974.823486478774000,12069257.035197614000000,-63.976449845840563,45.716749189735445
443,FWS 64_9_1_na,60765.462671616020000,12027387.292262642000000,-60.404814857342977,45.716741560385181
444,FWS 64_9_2_na,60738.427214544965000,12021978.691316491000000,-60.782580398817252,45.716741563790094
445,FWS 64_9_3_na,60765.162194722907000,12027326.716018721000000,-61.160344980426757,45.716741560399164
446,FWS 64_10_1_na,59949.919118574398000,11864278.268921318000000,-60.153394832450203,46.016740797581193
447,FWS 64_10_2_na,59951.117271729971000,11864520.293148229000000,-60.528409985908773,46.016740801268163
448,FWS 64_10_3_na,59949.624666303302000,11864220.884593897000000,-60.903424283847748,46.016740801282950
449,FWS 64_10_4_na,59949.923083595262000,11864281.827678176000000,-61.278434658682926,46.016740797356384
450,FWS 65_1_1_na,61275.690622642782000,12129433.256761616000000,-62.640984559286252,46.000064844863459
451,FWS 65_2_1_na,60795.998900298597000,12033493.644436112000000,-62.274310266443507,46.383382796063515
452,FWS 65_2_2_na,60792.740325170307000,12032843.901197718000000,-62.657659554222576,46.383382799841037
453,FWS 65_2_3_na,60793.031659670567000,12032902.075174430000000,-63.040999410310064,46.383386613778185
454,FWS 65_2_4_na,60794.497380661785000,12033194.835318664000000,-63.424344879793708,46.383396147527478
455,FWS 65_3_1_na,60394.545855029923000,11953205.001788495000000,-64.141029354404537,46.700071330062549
456,FWS 66_1_1_na,59704.013100351352000,11815098.852557138000000,-52.990694201684391,47.249946593519894
457,FWS 66_1_2_na,59704.005828492431000,11815096.546569619000000,-53.374044435974170,47.249952318909244
458,FWS 66_1_3_na,59702.551717322247000,11814806.425087042000000,-53.757389916297917,47.249952315098035
459,FWS 66_2_1_na,58759.390551708515000,11626173.086954875000000,-54.190739791296075,47.999952315621975
460,FWS 66_2_2_na,58757.937493771322000,11625878.549499268000000,-54.574094741112773,47.999967577211279
461,FWS 66_2_3_na,58756.201268574230000,11625536.641395479000000,-54.957439428316903,47.999982836888506
462,FWS 66_2_4_na,58756.487356548445000,11625593.546817308000000,-55.340779300041760,47.999982836800932
463,FWS 66_2_5_na,58760.778742899020000,11626450.880895866000000,-55.724134446604431,47.999982836887888
464,FWS 66_2_6_na,58757.921848875485000,11625879.734385477000000,-56.107494377349425,47.999982836730439
465,FWS 66_2_7_na,58756.491339091488000,11625594.077138513000000,-56.490839989438783,47.999982836830782
466,FWS 66_2_8_na,58759.347438495250000,11626166.071329981000000,-56.874190357126736,47.999986651709264
467,FWS 66_2_9_na,58757.625972674774000,11625822.730761386000000,-57.257544539218983,47.999990466188528
468,FWS 66_2_10_na,58756.481548673692000,11625592.240113918000000,-57.640889194926814,47.999990466252086
469,FWS 66_2_11_na,58757.904770384928000,11625876.368119704000000,-58.024234796745709,47.999996188046552
470,FWS 66_2_12_na,58756.180805828197000,11625531.842263050000000,-58.407579322617082,48.000001906550132
471,FWS 66_3_1_na,58623.010509490719000,11598898.663874066000000,-54.192400141257828,48.499956130269609
472,FWS 66_3_2_na,58620.165196327987000,11598324.221264228000000,-54.579090082217888,48.499965670178362
473,FWS 66_3_3_na,58619.874828870488000,11598268.599261098000000,-54.965769762725522,48.499971392808206
474,FWS 66_3_4_na,58620.157767604236000,11598325.876141403000000,-55.352449430017359,48.499971392976164
475,FWS 66_3_5_na,58620.150510110412000,11598325.208643405000000,-55.739130017538528,48.499977115151040
476,FWS 66_3_6_na,58619.859413455102000,11598267.809672642000000,-56.125809695418383,48.499986651768829
477,FWS 66_3_7_na,58620.137495032650000,11598323.772851234000000,-56.512489351792084,48.499990466665537
478,FWS 66_3_8_na,58620.130178164865000,11598322.091820776000000,-56.899169942747982,48.499996188710782
479,FWS 66_3_9_na,58619.839776624583000,11598263.484204752000000,-57.285849593751458,48.500001910224277
480,FWS 66_3_10_na,58621.537464759713000,11598601.271885268000000,-57.672533888209230,48.500001906814035
481,FWS 66_4_1_na,58257.189578647536000,11525733.637359718000000,-53.777369657265261,49.166625976377325
482,FWS 66_4_2_na,58255.509555877456000,11525397.155772367000000,-54.167384169634936,49.166631701896314
483,FWS 66_4_3_na,58257.182026781644000,11525729.461839132000000,-54.557398796214571,49.166631701231857
484,FWS 66_4_4_na,58255.779699915591000,11525453.257134642000000,-54.947414395736196,49.166635516886814
485,FWS 66_4_5_na,58255.495989026669000,11525396.520440312000000,-55.337424276126185,49.166639331381894
486,FWS 66_4_6_na,58255.767405437124000,11525447.546749240000000,-55.727434158591429,49.166645053435779
487,FWS 66_4_7_na,58257.157764080657000,11525726.763719862000000,-56.117449802778118,49.166650775522378
488,FWS 66_4_8_na,58257.150490442255000,11525725.099250805000000,-56.507470155896854,49.166656497558300
